# Disease(MESH)	Gene
D012559	Q9P031
D012559	Q8IWF2
D012559	P17516
D012559	O43903
D012559	Q8TAD8
D012559	Q15020
D012559	B7ZL14
D012559	P09919
D012559	Q9BRF8
D012559	O95185
D012559	Q9UGJ0
D012559	Q8TB52
D012559	A0A087WXG3
D012559	Q9BT30
D012559	P06213
D012559	P51810
D012559	P23193
D012559	Q13115
D012559	P11277
D012559	A0A087X1B2
D012559	Q6UWI4
D012559	P50219
D012559	Q9H147
D012559	O43896
D012559	P81274
D012559	Q9Y3D0
D012559	Q05923
D012559	Q8IZL2
D012559	Q3KRA9
D012559	B7ZAA0
D012559	Q16643
D012559	P04839
D012559	Q9NZ32
D012559	P25815
D012559	Q38SD2
D012559	A0A087X2D5
D012559	Q687X5
D012559	Q8N428
D012559	Q5VZ66
D012559	A0A0A0MRS8
D012559	O15247
D012559	Q8N165
D012559	Q8N972
D012559	P26232
D012559	P48739
D012559	A0A087WUK1
D012559	Q75N03
D012559	A0A0U1RRK1
D012559	P17693
D012559	P49447
D012559	O75973
D012559	Q9UN79
D012559	Q9P2N6
D012559	Q08378
D012559	P10997
D012559	Q6P5W5
D012559	P35568
D012559	Q7Z7B0
D012559	Q12872
D012559	Q8TC57
D012559	P50613
D012559	P53634
D012559	P14927
D012559	O94973
D012559	Q9UBB5
D012559	O75061
D012559	Q5TCQ5
D012559	A0A087WWT4
D012559	P09912
D012559	P0DML3
D012559	Q9H1C7
D012559	Q96MD2
D012559	Q14593
D012559	Q9P2S5
D012559	Q8N720
D012559	Q86UA1
D012559	Q5MJ70
D012559	Q96SR6
D012559	O43765
D012559	Q9BYC8
D012559	Q8IYM9
D012559	Q6Q0C0
D012559	Q92854
D012559	A2VDJ0
D012559	A6NI28
D012559	Q9H0R8
D012559	O00567
D012559	Q9NZH6
D012559	Q9Y333
D012559	Q9NZR1
D012559	P04003
D012559	Q8IZU8
D012559	Q9NS15
D012559	Q9UQ26
D012559	P98077
D012559	Q0P5N6
D012559	P16435
D012559	Q8WYH2
D012559	P0C0S5
D012559	P15169
D012559	P30990
D012559	Q92990
D012559	Q6NTE8
D012559	Q9BQK8
D012559	Q9UKK6
D012559	C9JER5
D012559	Q96FX8
D012559	P05981
D012559	Q13761
D012559	Q15699
D012559	P31371
D012559	O75175
D012559	P36639
D012559	Q9BTL4
D012559	Q9Y6P5
D012559	O75031
D012559	Q969Q1
D012559	P26842
D012559	Q16647
D012559	Q9Y2F5
D012559	Q02577
D012559	O75912
D012559	Q5H9E4
D012559	O75116
D012559	A0A087X0D8
D012559	O95149
D012559	B4DK25
D012559	P0C7L1
D012559	Q5K4E3
D012559	Q7Z7F0
D012559	O60238
D012559	O15078
D012559	A0A087WZN1
D012559	Q9ULC3
D012559	J3KSW1
D012559	Q9BXT8
D012559	P13716
D012559	P50851
D012559	Q9UHK6
D012559	Q9HBE1
D012559	P23468
D012559	P22301
D012559	Q5TZT0
D012559	Q96D98
D012559	Q8NAX2
D012559	Q9Y5E9
D012559	O94905
D012559	Q6UXX9
D012559	Q9UKB5
D012559	Q6UUV7
D012559	Q9BY43
D012559	Q8IVB5
D012559	Q9H9B4
D012559	Q9Y5T4
D012559	Q9Y216
D012559	Q96LD1
D012559	Q8N9L1
D012559	O00482
D012559	P14652
D012559	Q9BTE6
D012559	A0A0B4J2A0
D012559	P25791
D012559	Q9HD15
D012559	Q96B42
D012559	Q53HV7
D012559	Q9BYC5
D012559	P13611
D012559	Q8TED9
D012559	Q9NVV5
D012559	Q8WWP7
D012559	P00395
D012559	A0A0C4DGU8
D012559	A0A0A0MS51
D012559	Q6PI48
D012559	P41145
D012559	Q9NQX7
D012559	Q03164
D012559	Q6PIJ6
D012559	P02775
D012559	A0PJE2
D012559	E7DBM8
D012559	Q7Z478
D012559	Q96P48
D012559	Q96K19
D012559	O14770
D012559	Q495C1
D012559	Q9HCI7
D012559	Q8NHW3
D012559	P11766
D012559	Q86TL0
D012559	P05408
D012559	Q00765
D012559	Q01780
D012559	P40425
D012559	O95665
D012559	Q8IXW5
D012559	Q92625
D012559	O14972
D012559	Q8N8A2
D012559	P01213
D012559	Q9H000
D012559	Q86YW9
D012559	Q9Y5Q9
D012559	Q9Y698
D012559	Q7Z353
D012559	Q08722
D012559	P21796
D012559	E9PMR6
D012559	Q96LP2
D012559	Q969X0
D012559	P05155
D012559	Q8IXQ6
D012559	P24071
D012559	O94941
D012559	Q53FA7
D012559	Q6Q788
D012559	Q9P2J8
D012559	Q8N6L1
D012559	Q9UI33
D012559	Q07960
D012559	Q15404
D012559	P42704
D012559	Q5U3C3
D012559	O75155
D012559	P13929
D012559	Q86UW1
D012559	P56177
D012559	Q5DX21
D012559	B7Z685
D012559	E9PDJ9
D012559	Q96HD1
D012559	Q9NQ87
D012559	P08620
D012559	Q9NSV4
D012559	Q9H5Z1
D012559	P02814
D012559	O95810
D012559	Q8TBR7
D012559	Q8WZ73
D012559	Q2PPJ7
D012559	O95868
D012559	P09960
D012559	Q96SC8
D012559	P05177
D012559	Q6ZT07
D012559	P31269
D012559	Q92636
D012559	Q86VK4
D012559	O75558
D012559	Q8IWU5
D012559	P84103
D012559	Q16549
D012559	Q13461
D012559	O95069
D012559	A0A0A0MSX5
D012559	Q9UH73
D012559	Q69YW2
D012559	Q6NW34
D012559	P00326
D012559	A0A087WXB8
D012559	Q9UPV7
D012559	Q5VUY0
D012559	O15553
D012559	P68431
D012559	P19623
D012559	F8W7S1
D012559	Q9H2F3
D012559	Q14533
D012559	P42345
D012559	Q99973
D012559	O14862
D012559	Q9Y2L1
D012559	Q9Y462
D012559	Q9UPT9
D012559	Q13772
D012559	H0YM98
D012559	Q96R06
D012559	Q8N4Q1
D012559	Q9BZG8
D012559	Q9NQP4
D012559	Q9BRQ6
D012559	F8VXU5
D012559	D6RFW5
D012559	O15535
D012559	A0A0A0MQX2
D012559	B2RTY4
D012559	Q9UBI6
D012559	Q8IYL2
D012559	Q9H7D7
D012559	Q969Z0
D012559	Q9BQ95
D012559	P38405
D012559	B7Z2J6
D012559	P51608
D012559	Q7Z2K6
D012559	P55895
D012559	Q96N20
D012559	P31314
D012559	O15540
D012559	P54098
D012559	Q9NRA8
D012559	O76080
D012559	Q14574
D012559	Q9Y4B4
D012559	Q13705
D012559	Q9NP85
D012559	Q9BT88
D012559	Q02338
D012559	Q13480
D012559	F8W1G2
D012559	P32249
D012559	B3KQH5
D012559	Q9HAW0
D012559	A8MWV9
D012559	Q2LD37
D012559	O15527
D012559	Q9Y2P4
D012559	Q13268
D012559	Q16206
D012559	P10082
D012559	Q71SY5
D012559	Q8N3U4
D012559	Q13309
D012559	Q9BTK6
D012559	Q9Y3T6
D012559	Q92830
D012559	Q13489
D012559	Q9NP59
D012559	A4D1S0
D012559	Q9BPX1
D012559	B1AMS2
D012559	Q8IYU2
D012559	P39880
D012559	Q96CS4
D012559	Q8N3F0
D012559	Q8N357
D012559	P30536
D012559	D6RI00
D012559	P25929
D012559	Q4VXU2
D012559	P19957
D012559	Q96RR4
D012559	P20061
D012559	P11021
D012559	Q9H295
D012559	C9JQY5
D012559	Q9P2W9
D012559	Q6KC79
D012559	A0A087WY96
D012559	Q9NPP4
D012559	B4DXW1
D012559	Q86VH5
D012559	Q8IZ40
D012559	Q7L5L3
D012559	Q14152
D012559	P24539
D012559	Q9HA82
D012559	J9JIE5
D012559	Q9Y312
D012559	G3V2F4
D012559	P06733
D012559	P49450
D012559	Q9P121
D012559	Q96CC6
D012559	I3L4C2
D012559	A8MT33
D012559	Q8WV28
D012559	P04196
D012559	O75937
D012559	P55089
D012559	B7Z9I1
D012559	C9JEH3
D012559	O95837
D012559	C9JYY6
D012559	A0A0G2JNH7
D012559	Q70EL2
D012559	P21580
D012559	Q8N841
D012559	O00327
D012559	P54253
D012559	P48729
D012559	P21817
D012559	Q9UIL1
D012559	Q03013
D012559	Q8N0X2
D012559	Q92583
D012559	B1AVT0
D012559	P09871
D012559	Q969K4
D012559	Q5EBL4
D012559	Q9H3W5
D012559	B4DM58
D012559	Q8WXE0
D012559	Q15811
D012559	A0A0A0MRS4
D012559	Q99726
D012559	Q9NYG8
D012559	Q9BRR0
D012559	P17858
D012559	Q9NXG2
D012559	Q6HA08
D012559	Q8N5D6
D012559	A0A0A0MRV4
D012559	P17023
D012559	O95747
D012559	O00483
D012559	Q9ULW6
D012559	P41212
D012559	Q96DL1
D012559	O14949
D012559	P41161
D012559	B1AKZ5
D012559	Q9UP38
D012559	O75509
D012559	A5PLL3
D012559	Q9NWH7
D012559	O14556
D012559	Q9UBS0
D012559	P20591
D012559	A0A0C4DFQ2
D012559	A0A0A6YY98
D012559	P11168
D012559	Q9H974
D012559	Q9BY11
D012559	Q9NT22
D012559	P00747
D012559	Q8N568
D012559	P15848
D012559	Q6PIF2
D012559	Q7L513
D012559	Q86Z20
D012559	Q9Y5Q8
D012559	P05997
D012559	P78334
D012559	A2RTX5
D012559	O43852
D012559	P09629
D012559	Q9HAU4
D012559	Q9HBM6
D012559	Q9UIE0
D012559	Q08462
D012559	Q13232
D012559	P19174
D012559	Q9HCL2
D012559	O14976
D012559	Q8NER1
D012559	Q9ULH0
D012559	E9PCX7
D012559	P41247
D012559	Q9C0B0
D012559	P34810
D012559	Q96MV8
D012559	B3KVK2
D012559	Q9Y603
D012559	Q8TCB0
D012559	Q2M2I8
D012559	O14498
D012559	Q9H112
D012559	Q9Y3D3
D012559	Q9H875
D012559	Q9HDC9
D012559	Q9HAU0
D012559	P29622
D012559	P53420
D012559	Q9UHN1
D012559	Q86XT9
D012559	Q7Z3D6
D012559	Q96EZ8
D012559	Q569H4
D012559	Q9NPF4
D012559	Q5HYF5
D012559	J9JIF5
D012559	Q9H6S1
D012559	H0Y7L2
D012559	Q5VSY0
D012559	O14830
D012559	Q9BQ52
D012559	Q8N1F7
D012559	Q92824
D012559	P61812
D012559	Q96FA3
D012559	Q92914
D012559	P56937
D012559	Q9Y2R0
D012559	Q8N3X6
D012559	Q9UK41
D012559	Q9BTP6
D012559	Q9UGY1
D012559	Q9Y5P6
D012559	C9J2Y9
D012559	Q9H9J4
D012559	Q14318
D012559	Q6NT04
D012559	Q9UNS1
D012559	Q9BQ50
D012559	B4DWR3
D012559	P62491
D012559	P05783
D012559	Q8NCY6
D012559	Q8TCT1
D012559	Q15198
D012559	Q96P71
D012559	P50213
D012559	H3BPS5
D012559	Q969G5
D012559	Q14671
D012559	P60228
D012559	F5H6I3
D012559	P36269
D012559	Q8NB46
D012559	Q9BRT2
D012559	Q8TC92
D012559	C9J0Q5
D012559	A0A0C4DFM1
D012559	P04732
D012559	A0A0A0MTJ0
D012559	Q8NDH3
D012559	Q9BT23
D012559	Q693B1
D012559	Q96EQ0
D012559	Q96C00
D012559	Q9H6P5
D012559	Q9H8H3
D012559	Q13588
D012559	O75581
D012559	A1A4S6
D012559	Q03393
D012559	Q9BS91
D012559	Q9GZV1
D012559	B4E128
D012559	P08473
D012559	Q99944
D012559	P30041
D012559	Q99075
D012559	P99999
D012559	J3KNV4
D012559	Q9GZQ8
D012559	Q9UN67
D012559	Q7Z7L1
D012559	Q96G21
D012559	A0A0A0MSE3
D012559	Q9UBX8
D012559	Q9Y616
D012559	Q76N32
D012559	Q8IUE6
D012559	P57105
D012559	P23771
D012559	Q9UK85
D012559	A8MUP8
D012559	Q99594
D012559	B7WNX0
D012559	O00744
D012559	P61925
D012559	P35442
D012559	P51858
D012559	Q6UXK2
D012559	G5E9V5
D012559	Q7Z7M0
D012559	Q96PE7
D012559	Q96KS9
D012559	Q9NZJ0
D012559	Q9UID3
D012559	A0A0A0MRB7
D012559	Q8TDW7
D012559	O43760
D012559	Q9UKX7
D012559	P14868
D012559	P61225
D012559	Q6PL24
D012559	Q9NUC0
D012559	Q13231
D012559	Q99961
D012559	F8VU39
D012559	Q9H4Q3
D012559	O43427
D012559	Q6ISS4
D012559	Q13216
D012559	Q9UGM1
D012559	Q8N2Y8
D012559	O95718
D012559	Q9BXJ5
D012559	Q8TAA5
D012559	O14967
D012559	Q8TDV5
D012559	B1AKP1
D012559	Q96BQ1
D012559	P00966
D012559	Q86V21
D012559	P01562
D012559	Q14181
D012559	Q9NR50
D012559	Q53GT1
D012559	Q9H469
D012559	Q8NHZ8
D012559	Q8N1H7
D012559	Q9NRG9
D012559	Q8NEN0
D012559	H0YLN8
D012559	O95478
D012559	Q12829
D012559	Q9P0N5
D012559	Q13283
D012559	A0A0C4DFM7
D012559	O60290
D012559	P48169
D012559	Q15935
D012559	Q6IQ20
D012559	Q8WWZ7
D012559	Q8IWI9
D012559	P53672
D012559	Q16775
D012559	Q96DN0
D012559	Q96A00
D012559	P08294
D012559	A1L167
D012559	Q8N5F7
D012559	Q9UPZ9
D012559	P49903
D012559	Q9Y4Y9
D012559	Q96P53
D012559	Q9H0X4
D012559	Q03989
D012559	O15427
D012559	P56282
D012559	Q5XG87
D012559	Q9BSE5
D012559	A0A087X1D5
D012559	O43399
D012559	P45877
D012559	P08754
D012559	Q9NR31
D012559	Q9NUY8
D012559	E9PPM8
D012559	Q4VC31
D012559	Q07283
D012559	C9JJ19
D012559	Q15027
D012559	Q5VWX1
D012559	Q96FT9
D012559	P17022
D012559	Q9Y2Y1
D012559	Q9NYV4
D012559	A0A0A6YYA7
D012559	Q02040
D012559	A0A0M3HEQ9
D012559	Q9UF02
D012559	A6H8Y1
D012559	A0A087WV25
D012559	Q6P2E9
D012559	Q16772
D012559	O60268
D012559	P56545
D012559	A0A087X1R4
D012559	O75191
D012559	P05111
D012559	O60294
D012559	Q96BA8
D012559	Q9HAE3
D012559	P78414
D012559	Q9UKJ3
D012559	F6TDL0
D012559	Q9Y2G8
D012559	Q9P2K1
D012559	Q5VUD6
D012559	Q13562
D012559	O94874
D012559	E7ETH6
D012559	P00519
D012559	Q12852
D012559	P12272
D012559	P49840
D012559	Q00994
D012559	Q9UKL4
D012559	Q13363
D012559	A0A0A0MR47
D012559	Q86YP4
D012559	E9PD50
D012559	Q9BZL3
D012559	O43827
D012559	Q9BUE6
D012559	P43235
D012559	Q9H4A6
D012559	P56178
D012559	Q99909
D012559	Q2M3G4
D012559	B3KXD6
D012559	Q8IWT1
D012559	Q6PK18
D012559	B7Z9U0
D012559	Q17RL8
D012559	P56557
D012559	Q8N682
D012559	Q16706
D012559	Q9UFP1
D012559	Q9HBA0
D012559	Q8NI37
D012559	Q7L266
D012559	A0A0A0MS80
D012559	F8W9S8
D012559	Q8IU85
D012559	Q32MH5
D012559	P61020
D012559	Q8NHP8
D012559	F5H148
D012559	Q96P50
D012559	P09105
D012559	F5H8B0
D012559	A0A087WWB9
D012559	Q9BPW4
D012559	O75607
D012559	P78317
D012559	Q9BSK0
D012559	P03973
D012559	Q9GZN0
D012559	Q15334
D012559	P62502
D012559	A6NHQ4
D012559	Q9BUW7
D012559	P23276
D012559	P24386
D012559	P48051
D012559	Q9NSB2
D012559	P40937
D012559	Q8IVS8
D012559	Q9GZZ9
D012559	Q5TA58
D012559	Q07817
D012559	P01350
D012559	Q9H1Z8
D012559	Q6E0U4
D012559	Q8NEZ4
D012559	Q8NC24
D012559	Q9Y365
D012559	O60749
D012559	P48728
D012559	O15049
D012559	Q4G0P3
D012559	Q5JS37
D012559	Q8NBJ4
D012559	P24298
D012559	Q12974
D012559	Q9UJU3
D012559	F5H6I7
D012559	Q6PHR2
D012559	Q6J4K2
D012559	Q5T5Y3
D012559	Q96RG2
D012559	Q9Y278
D012559	Q9Y3C4
D012559	Q9NV64
D012559	P55884
D012559	P49757
D012559	O95985
D012559	Q9Y221
D012559	P10415
D012559	Q8N9S9
D012559	O00418
D012559	P53597
D012559	O60662
D012559	Q8IZS8
D012559	Q7L2H7
D012559	G3V1S4
D012559	O00631
D012559	P78415
D012559	P07327
D012559	Q9NQE7
D012559	Q9H0A9
D012559	Q9NRX2
D012559	Q9NV72
D012559	A0A0A0MSU4
D012559	Q86X29
D012559	P12931
D012559	Q6UXB4
D012559	P05412
D012559	Q7Z7J5
D012559	P26641
D012559	A0A0C3SFZ9
D012559	H3BMC5
D012559	P50748
D012559	P34969
D012559	P10915
D012559	O60566
D012559	Q7Z7G8
D012559	Q86U70
D012559	Q8TCI5
D012559	O60656
D012559	Q9HCJ6
D012559	E9PD53
D012559	Q6ZWB6
D012559	Q9BVK8
D012559	P52569
D012559	Q15018
D012559	Q9BPW5
D012559	O75717
D012559	Q9GZV7
D012559	Q9H6K4
D012559	O96000
D012559	Q9BUP3
D012559	P19634
D012559	Q9BV44
D012559	Q9Y2Y9
D012559	Q1W6H9
D012559	Q9H3H1
D012559	P37268
D012559	Q9H898
D012559	Q96JJ3
D012559	Q86UV7
D012559	J3KNE2
D012559	Q96RS0
D012559	P35080
D012559	Q99250
D012559	A0A0A0MRA8
D012559	Q969P6
D012559	Q14690
D012559	P48995
D012559	Q9BX63
D012559	Q9H3Z4
D012559	P05362
D012559	Q8TEQ0
D012559	Q9Y2I2
D012559	Q8N1A6
D012559	E9PH60
D012559	P43026
D012559	Q8N999
D012559	Q9BQY9
D012559	A0A0C4DFT5
D012559	O95897
D012559	E7ES00
D012559	Q9HBH0
D012559	Q504T8
D012559	Q99417
D012559	O60502
D012559	Q7Z6J0
D012559	O60488
D012559	Q6ZRR5
D012559	Q9Y2Y0
D012559	Q96AQ9
D012559	P43166
D012559	Q5T6J7
D012559	O76009
D012559	P78347
D012559	P05813
D012559	Q13740
D012559	Q71H61
D012559	Q96T53
D012559	E9PK59
D012559	P02790
D012559	Q04917
D012559	P59046
D012559	A8MZ97
D012559	Q5VU92
D012559	P01375
D012559	O60732
D012559	Q69YN4
D012559	Q969Q5
D012559	Q96N66
D012559	O75531
D012559	P51857
D012559	P53814
D012559	Q96EG1
D012559	Q6UXV4
D012559	Q9H2D1
D012559	P41567
D012559	Q96EG3
D012559	P57727
D012559	Q9NWA0
D012559	Q9H4M7
D012559	Q9HB75
D012559	Q9UMX3
D012559	Q9Y2X3
D012559	P23490
D012559	Q9BWT1
D012559	Q99593
D012559	P55327
D012559	P19224
D012559	Q92887
D012559	P0C5Z0
D012559	Q8N807
D012559	Q7Z5A7
D012559	Q6ZV73
D012559	Q9H799
D012559	Q9BVK6
D012559	Q9UBY5
D012559	Q6ZS82
D012559	Q96ES7
D012559	Q5VV63
D012559	Q9UL68
D012559	P01584
D012559	P53004
D012559	Q9H211
D012559	Q13887
D012559	C9IZ01
D012559	O15342
D012559	F8WDR2
D012559	P47871
D012559	Q9UPN7
D012559	P60006
D012559	Q9BWX5
D012559	Q6YFQ2
D012559	Q14515
D012559	Q4U2R6
D012559	E7EM75
D012559	Q9Y4E5
D012559	O75899
D012559	O75400
D012559	Q96JM7
D012559	Q9NXX6
D012559	Q9BVK2
D012559	Q9H5Y7
D012559	Q12899
D012559	O95365
D012559	P08842
D012559	Q14247
D012559	Q86U28
D012559	Q6ZMU5
D012559	Q9UPY5
D012559	Q66K74
D012559	Q9BZF1
D012559	Q9UQN3
D012559	Q15785
D012559	P08700
D012559	Q5VWC8
D012559	Q9ULP9
D012559	Q9Y6G5
D012559	J3KMX2
D012559	P78344
D012559	Q6UW02
D012559	P56134
D012559	Q9BPV8
D012559	P00558
D012559	Q9UBM1
D012559	Q9BZF2
D012559	P46060
D012559	O43148
D012559	Q6V0L0
D012559	O43396
D012559	Q70Z35
D012559	Q8N6T7
D012559	E7ET92
D012559	O96001
D012559	P49895
D012559	P49238
D012559	P52429
D012559	Q96Q89
D012559	O60437
D012559	Q93099
D012559	Q96C23
D012559	Q9NX18
D012559	Q9Y223
D012559	O00401
D012559	Q92959
D012559	Q99835
D012559	P00451
D012559	Q9H4X1
D012559	P55061
D012559	O75335
D012559	Q9NX20
D012559	Q86WR0
D012559	Q96RE9
D012559	P48039
D012559	P17612
D012559	B7ZL91
D012559	Q9NWZ3
D012559	Q9HCN4
D012559	Q07954
D012559	P00491
D012559	Q9UKT4
D012559	Q14116
D012559	P48595
D012559	E9PBG3
D012559	Q96EK6
D012559	P42226
D012559	Q8WXX5
D012559	Q8TDM6
D012559	O00303
D012559	P10767
D012559	P78424
D012559	Q9UL26
D012559	Q9BRV8
D012559	Q9UNA0
D012559	P17658
D012559	Q14766
D012559	Q9BV79
D012559	Q96A73
D012559	Q15726
D012559	Q8N766
D012559	Q96PS8
D012559	Q96HR9
D012559	Q9BZE4
D012559	A0A087WU49
D012559	Q9HCJ2
D012559	Q15154
D012559	P18405
D012559	Q6P3W2
D012559	Q8TDF6
D012559	Q9BWT7
D012559	Q8NHX9
D012559	Q13651
D012559	P09972
D012559	Q8N0U8
D012559	Q96AV8
D012559	P55291
D012559	Q9NZQ0
D012559	A0A087WW96
D012559	Q9Y2Q0
D012559	Q6ZNA5
D012559	Q8N292
D012559	A0A087WWV0
D012559	A0PK00
D012559	Q86TW2
D012559	P01100
D012559	P61923
D012559	O43174
D012559	P49257
D012559	Q9BXR0
D012559	Q8WUA4
D012559	Q99741
D012559	O75410
D012559	B8ZZ50
D012559	P61073
D012559	P35580
D012559	Q8IV56
D012559	O60449
D012559	Q5T0B9
D012559	P57737
D012559	Q9HD40
D012559	Q8TAF8
D012559	O60826
D012559	Q9UJ70
D012559	P14649
D012559	Q9UHL0
D012559	P34903
D012559	P05771
D012559	O95297
D012559	A6NKD9
D012559	G3XA84
D012559	Q5T6V5
D012559	O75173
D012559	Q14680
D012559	Q8TBY8
D012559	P49189
D012559	Q01543
D012559	P40763
D012559	P32456
D012559	Q8IVM8
D012559	P26358
D012559	O60248
D012559	P11532
D012559	Q9ULK0
D012559	A7XYQ1
D012559	Q9BYE7
D012559	Q49SQ1
D012559	D6R938
D012559	Q7Z388
D012559	Q9NZM6
D012559	P24723
D012559	Q13164
D012559	A0A087WU07
D012559	J3KQC0
D012559	F6VRR5
D012559	Q9Y2T7
D012559	O60671
D012559	O75339
D012559	P08F94
D012559	Q9BWE0
D012559	Q8N8X9
D012559	Q49B96
D012559	P30042
D012559	Q8TED4
D012559	A0A087WTV6
D012559	P20594
D012559	A0A087X2I1
D012559	Q8NBI5
D012559	I3L1J3
D012559	P12104
D012559	Q6UWE0
D012559	A1L390
D012559	O75489
D012559	O14734
D012559	P98160
D012559	P05186
D012559	Q6WRI0
D012559	Q99595
D012559	Q96FT7
D012559	Q5JTB6
D012559	H7C410
D012559	Q9NPY3
D012559	Q5JVG8
D012559	Q969F2
D012559	Q16515
D012559	O95361
D012559	P07437
D012559	P21439
D012559	O60733
D012559	P26678
D012559	B4DLN5
D012559	Q9BRK4
D012559	O14578
D012559	Q9HCE3
D012559	Q15543
D012559	Q9BX79
D012559	Q60I27
D012559	Q9Y281
D012559	F5H5K1
D012559	P07492
D012559	Q9UJU5
D012559	P21815
D012559	F5GYS8
D012559	Q9UBZ4
D012559	Q9BQ51
D012559	Q9UJY4
D012559	P09681
D012559	P13051
D012559	Q8WWX8
D012559	Q3SXM5
D012559	P62879
D012559	P41159
D012559	Q8IVH8
D012559	P10398
D012559	Q9GZU7
D012559	Q5THR3
D012559	Q9P2M4
D012559	A6NHC0
D012559	Q8TC41
D012559	A0A087WZ40
D012559	F5GZQ3
D012559	O95500
D012559	A6NDV4
D012559	Q9Y6D9
D012559	Q9H8G1
D012559	Q5XG92
D012559	Q6NXG1
D012559	Q9UJC5
D012559	O43716
D012559	O75365
D012559	Q86T96
D012559	P20585
D012559	P22413
D012559	P59510
D012559	A0A0D9SGF6
D012559	Q96ES6
D012559	Q8NI08
D012559	Q96L92
D012559	Q15633
D012559	Q9Y240
D012559	P48163
D012559	B3KPE6
D012559	Q7Z6K4
D012559	Q9BSG5
D012559	Q9BYD9
D012559	A6NDD5
D012559	O75891
D012559	Q6PF15
D012559	Q15438
D012559	Q8IY84
D012559	Q96S94
D012559	Q6IMN6
D012559	A0A087WVY6
D012559	P20618
D012559	P35557
D012559	J3KNX4
D012559	P61962
D012559	P06850
D012559	Q9NRS6
D012559	Q8N394
D012559	O15547
D012559	P49902
D012559	Q8N556
D012559	P51572
D012559	Q9BPX7
D012559	Q9HB89
D012559	Q04760
D012559	Q9BRJ6
D012559	O75874
D012559	Q9H1C3
D012559	O76095
D012559	Q15393
D012559	E9PIM0
D012559	O43687
D012559	Q9UKX5
D012559	Q9P246
D012559	A0A0C4DH07
D012559	Q0VAQ4
D012559	E7EWR4
D012559	Q969E1
D012559	P05387
D012559	Q99661
D012559	Q9NWH2
D012559	Q9NWB7
D012559	Q9P0N9
D012559	Q13352
D012559	Q6PCB8
D012559	P43897
D012559	Q06547
D012559	Q9NXV6
D012559	Q96IZ7
D012559	Q9H3L0
D012559	Q96CM3
D012559	P51674
D012559	C9IY40
D012559	P23434
D012559	P29466
D012559	Q14498
D012559	Q8N6W0
D012559	P09758
D012559	Q9H2M3
D012559	P15735
D012559	P35318
D012559	Q9ULH7
D012559	P42898
D012559	Q96PD7
D012559	Q8TAC9
D012559	O94782
D012559	Q9H9L3
D012559	Q9ULC5
D012559	Q6UW68
D012559	Q86YI8
D012559	Q8NC56
D012559	P78356
D012559	Q96RF0
D012559	Q10471
D012559	P11215
D012559	Q9NZP8
D012559	D3YTB5
D012559	Q15303
D012559	C9JNM7
D012559	P55001
D012559	P48788
D012559	Q86Y22
D012559	Q8IW75
D012559	Q9UEE5
D012559	Q8WWF8
D012559	Q15291
D012559	P01189
D012559	Q8WZ19
D012559	P54257
D012559	P19438
D012559	O60931
D012559	P98161
D012559	Q9UN36
D012559	O75190
D012559	Q92903
D012559	O43665
D012559	Q7Z7B1
D012559	Q8N1B3
D012559	P52179
D012559	O75494
D012559	P50238
D012559	P17081
D012559	A0A096LP44
D012559	Q9UQ16
D012559	P13631
D012559	P54219
D012559	Q9NTI2
D012559	Q6IPR1
D012559	Q9BYX2
D012559	A0A0C4DFP5
D012559	Q12955
D012559	Q5C9Z4
D012559	Q9NVE7
D012559	Q6P1M0
D012559	Q86UU5
D012559	Q99613
D012559	Q5CZA5
D012559	Q96SB4
D012559	M0QX28
D012559	A6NK06
D012559	P58557
D012559	Q00653
D012559	Q14469
D012559	P13612
D012559	G3V1B9
D012559	A0A0A0MRA5
D012559	A0A087X1X9
D012559	Q8TDS4
D012559	A0A087WYF4
D012559	P53618
D012559	Q7RTU0
D012559	P36402
D012559	Q9Y6S9
D012559	O43513
D012559	E9PGM9
D012559	Q9H4E5
D012559	Q8IYS5
D012559	P32119
D012559	Q7Z5L3
D012559	P49788
D012559	Q9H040
D012559	B7Z5N5
D012559	Q9H0U9
D012559	O00175
D012559	Q9HCJ3
D012559	Q13258
D012559	Q9H2C0
D012559	Q13618
D012559	Q10472
D012559	P25445
D012559	P13807
D012559	P17020
D012559	P35249
D012559	P21281
D012559	Q7Z5Y7
D012559	E9PK91
D012559	P09913
D012559	P12036
D012559	Q92820
D012559	Q9H4B0
D012559	A0A0J9YWR0
D012559	Q92538
D012559	P08590
D012559	Q96RT8
D012559	Q9Y6J9
D012559	I3L0X5
D012559	O14514
D012559	Q9Y3I1
D012559	O14569
D012559	Q96PU5
D012559	Q03692
D012559	Q96DU7
D012559	Q16520
D012559	Q0VAF6
D012559	Q13416
D012559	Q9HA92
D012559	Q9H9D4
D012559	O94763
D012559	P41594
D012559	E7ER02
D012559	O14561
D012559	Q9H2S9
D012559	Q9H1Y3
D012559	P17030
D012559	Q07864
D012559	Q8N488
D012559	O95967
D012559	Q6PEW1
D012559	Q9BXM0
D012559	Q9NV06
D012559	Q16799
D012559	Q6P3X3
D012559	A0A0A0MTN7
D012559	A0A087X251
D012559	Q6ZN66
D012559	Q8N511
D012559	Q96L96
D012559	A0A0G2JHL1
D012559	Q96RI1
D012559	Q70SY1
D012559	P04553
D012559	O15143
D012559	Q8NBQ7
D012559	Q86WS5
D012559	Q6AHZ1
D012559	Q0WX57
D012559	P43657
